id,date,box_range,created_at
5343d808-a990-465b-878a-bc8ef7c6ba90,2024-12-03,616-623,2024-12-14 00:27:20
01749336-c13b-42e8-a318-afe64ce11e05,2024-12-04,624-629,2024-12-14 00:27:34
8bb16fd0-3f5c-4364-b369-ba2cfc7a9d0b,2024-12-10,630-639,2024-12-14 00:27:47
b90c9cb8-54e1-4afb-abb2-78cfa0e18d77,2024-12-13,640-651,2024-12-14 00:27:58
